Id,Id2,Geography,Total
0600000US2701350200,2701350200,"Pemberton city, Blue Earth County, Minnesota",247
0600000US2701351604,2701351604,"Pleasant Mound township, Blue Earth County, Minnesota",214
0600000US2701353206,2701353206,"Rapidan township, Blue Earth County, Minnesota",1101
0600000US2701356824,2701356824,"St. Clair city, Blue Earth County, Minnesota",868
0600000US2701359458,2701359458,"Shelby township, Blue Earth County, Minnesota",265
0600000US2701360754,2701360754,"Skyline city, Blue Earth County, Minnesota",289
0600000US2701361240,2701361240,"South Bend township, Blue Earth County, Minnesota",1682
0600000US2701362716,2701362716,"Sterling township, Blue Earth County, Minnesota",296
0600000US2701366910,2701366910,"Vernon Center city, Blue Earth County, Minnesota",332
0600000US2701366928,2701366928,"Vernon Center township, Blue Earth County, Minnesota",262
0600000US2701500748,2701500748,"Albin township, Brown County, Minnesota",348
0600000US2701503826,2701503826,"Bashaw township, Brown County, Minnesota",243
0600000US2701508776,2701508776,"Burnstown township, Brown County, Minnesota",268
0600000US2701512394,2701512394,"Cobden city, Brown County, Minnesota",36
0600000US2701512772,2701512772,"Comfrey city, Brown County, Minnesota",366
0600000US2701513546,2701513546,"Cottonwood township, Brown County, Minnesota",840
0600000US2701518026,2701518026,"Eden township, Brown County, Minnesota",254
0600000US2701519880,2701519880,"Evan city, Brown County, Minnesota",86
0600000US2701527008,2701527008,"Hanska city, Brown County, Minnesota",402
0600000US2701529960,2701529960,"Home township, Brown County, Minnesota",545
0600000US2701534442,2701534442,"Lake Hanska township, Brown County, Minnesota",339
0600000US2701536116,2701536116,"Leavenworth township, Brown County, Minnesota",287
0600000US2701537214,2701537214,"Linden township, Brown County, Minnesota",295
0600000US2701542182,2701542182,"Milford township, Brown County, Minnesota",694
0600000US2701544746,2701544746,"Mulligan township, Brown County, Minnesota",218
0600000US2701546042,2701546042,"New Ulm city, Brown County, Minnesota",13522
0600000US2701547248,2701547248,"North Star township, Brown County, Minnesota",287
0600000US2701552342,2701552342,"Prairieville township, Brown County, Minnesota",255
0600000US2701560160,2701560160,"Sigel township, Brown County, Minnesota",344
0600000US2701560844,2701560844,"Sleepy Eye city, Brown County, Minnesota",3599
0600000US2701561816,2701561816,"Springfield city, Brown County, Minnesota",2152
0600000US2701562518,2701562518,"Stark township, Brown County, Minnesota",348
0600000US2701562590,2701562590,"Stately township, Brown County, Minnesota",165
0600000US2701702656,2701702656,"Atkinson township, Carlton County, Minnesota",406
0600000US2701703016,2701703016,"Automba township, Carlton County, Minnesota",140
0600000US2701703628,2701703628,"Barnum city, Carlton County, Minnesota",613
0600000US2701703646,2701703646,"Barnum township, Carlton County, Minnesota",1061
0600000US2701705518,2701705518,"Beseman township, Carlton County, Minnesota",137
0600000US2701706328,2701706328,"Blackhoof township, Carlton County, Minnesota",893
0600000US2701710018,2701710018,"Carlton city, Carlton County, Minnesota",862
0600000US2701711750,2701711750,"Clear Creek UT, Carlton County, Minnesota",160
0600000US2701712160,2701712160,"Cloquet city, Carlton County, Minnesota",12124
0600000US2701713780,2701713780,"Cromwell city, Carlton County, Minnesota",234
0600000US2701717332,2701717332,"Eagle township, Carlton County, Minnesota",581
0600000US2701729942,2701729942,"Holyoke township, Carlton County, Minnesota",182
0600000US2701732264,2701732264,"Kalevala township, Carlton County, Minnesota",327
0600000US2701732966,2701732966,"Kettle River city, Carlton County, Minnesota",180
0600000US2701735162,2701735162,"Lakeview township, Carlton County, Minnesota",179
0600000US2701739464,2701739464,"Mahtowa township, Carlton County, Minnesota",613
0600000US2701743954,2701743954,"Moose Lake city, Carlton County, Minnesota",2751
0600000US2701743972,2701743972,"Moose Lake township, Carlton County, Minnesota",1061
0600000US2701746820,2701746820,"North Carlton UT, Carlton County, Minnesota",982
0600000US2701750446,2701750446,"Perch Lake township, Carlton County, Minnesota",1046
0600000US2701758936,2701758936,"Scanlon city, Carlton County, Minnesota",991
0600000US2701760232,2701760232,"Silver township, Carlton County, Minnesota",457
0600000US2701760268,2701760268,"Silver Brook township, Carlton County, Minnesota",648
0600000US2701760664,2701760664,"Skelton township, Carlton County, Minnesota",414
0600000US2701761708,2701761708,"Split Rock township, Carlton County, Minnesota",166
0600000US2701764750,2701764750,"Thomson city, Carlton County, Minnesota",159
0600000US2701764768,2701764768,"Thomson township, Carlton County, Minnesota",5003
0600000US2701765902,2701765902,"Twin Lakes township, Carlton County, Minnesota",2108
0600000US2701771788,2701771788,"Wrenshall city, Carlton County, Minnesota",399
0600000US2701771806,2701771806,"Wrenshall township, Carlton County, Minnesota",382
0600000US2701771824,2701771824,"Wright city, Carlton County, Minnesota",127
0600000US2701905266,2701905266,"Benton township, Carver County, Minnesota",786
0600000US2701909406,2701909406,"Camden township, Carver County, Minnesota",922
0600000US2701910144,2701910144,"Carver city, Carver County, Minnesota",3724
0600000US2701910918,2701910918,"Chanhassen city, Carver County, Minnesota",22952
