Id,Id2,Geography,pop2016,Margin of Error; Total
0600000US2701972130,2701972130,"Young America township, Carver County, Minnesota",738,126
0600000US2702101738,2702101738,"Ansel township, Cass County, Minnesota",65,31
0600000US2702103124,2702103124,"Backus city, Cass County, Minnesota",299,78
0600000US2702103538,2702103538,"Barclay township, Cass County, Minnesota",526,106
0600000US2702104600,2702104600,"Becker township, Cass County, Minnesota",551,108
0600000US2702105104,2702105104,"Bena city, Cass County, Minnesota",102,42
0600000US2702105572,2702105572,"Beulah township, Cass County, Minnesota",78,18
0600000US2702106040,2702106040,"Birch Lake township, Cass County, Minnesota",539,57
0600000US2702106454,2702106454,"Blind Lake township, Cass County, Minnesota",78,30
0600000US2702107156,2702107156,"Boy Lake township, Cass County, Minnesota",277,36
0600000US2702107174,2702107174,"Boy River city, Cass County, Minnesota",38,27
0600000US2702107192,2702107192,"Boy River township, Cass County, Minnesota",60,35
0600000US2702108560,2702108560,"Bull Moose township, Cass County, Minnesota",131,59
0600000US2702108596,2702108596,"Bungo township, Cass County, Minnesota",189,65
0600000US2702109136,2702109136,"Byron township, Cass County, Minnesota",129,36
0600000US2702110252,2702110252,"Cass Lake city, Cass County, Minnesota",653,92
0600000US2702111296,2702111296,"Chickamaw Beach city, Cass County, Minnesota",132,28
0600000US2702113834,2702113834,"Crooked Lake township, Cass County, Minnesota",504,69
0600000US2702115220,2702115220,"Deerfield township, Cass County, Minnesota",120,33
0600000US2702117495,2702117495,"East Cass UT, Cass County, Minnesota",93,71
0600000US2702117630,2702117630,"East Gull Lake city, Cass County, Minnesota",1012,133
0600000US2702120366,2702120366,"Fairview township, Cass County, Minnesota",837,105
0600000US2702120798,2702120798,"Federal Dam city, Cass County, Minnesota",79,27
0600000US2702124686,2702124686,"Gould township, Cass County, Minnesota",180,40
0600000US2702126378,2702126378,"Hackensack city, Cass County, Minnesota",327,83
0600000US2702129366,2702129366,"Hiram township, Cass County, Minnesota",344,49
0600000US2702129978,2702129978,"Home Brook township, Cass County, Minnesota",252,51
0600000US2702130986,2702130986,"Inguadona township, Cass County, Minnesota",210,28
0600000US2702132588,2702132588,"Kego township, Cass County, Minnesota",611,116
0600000US2702134928,2702134928,"Lake Shore city, Cass County, Minnesota",960,118
0600000US2702136224,2702136224,"Leech Lake township, Cass County, Minnesota",423,60
0600000US2702137034,2702137034,"Lima township, Cass County, Minnesota",111,41
0600000US2702138114,2702138114,"Longville city, Cass County, Minnesota",103,33
0600000US2702138168,2702138168,"Loon Lake township, Cass County, Minnesota",571,94
0600000US2702139104,2702139104,"McKinley township, Cass County, Minnesota",105,24
0600000US2702140076,2702140076,"Maple township, Cass County, Minnesota",354,68
0600000US2702141102,2702141102,"May township, Cass County, Minnesota",803,103
0600000US2702141354,2702141354,"Meadow Brook township, Cass County, Minnesota",283,89
0600000US2702143990,2702143990,"Moose Lake township, Cass County, Minnesota",149,43
0600000US2702144422,2702144422,"Motley city, Cass County, Minnesota",27,34
0600000US2702146825,2702146825,"North Cass UT, Cass County, Minnesota",187,96
0600000US2702146826,2702146826,"North Central Cass UT, Cass County, Minnesota",8,11
0600000US2702149250,2702149250,"Otter Tail Peninsula township, Cass County, Minnesota",57,19
0600000US2702150848,2702150848,"Pike Bay township, Cass County, Minnesota",1564,121
0600000US2702150902,2702150902,"Pillager city, Cass County, Minnesota",482,93
